ObjectMappingID,SourceConnection,ObjectType,SourceSchema,SourceTable,DestinationConnection,DestinationSchema,DestinationTable,PrimaryKeyColumn,IsEnabled,IsNew
1020,ICONI,PSA_Iconi,dbo,vBIRestart_Engagement,sql_dwh,ICONI,vBIRestart_Engagement,engagement_id,1,1
1030,ICONI,PSA_Iconi,dbo,vBIRestart_Assessment,sql_dwh,ICONI,vBIRestart_Assessment,assessment_id|ass_sub_type,0,1
1040,ICONI,PSA_Iconi,dbo,vBICommon_User,sql_dwh,ICONI,vBICommon_User,user_id,1,1
1050,ICONI,PSA_Iconi,dbo,vBICommon_Individual,sql_dwh,ICONI,vBICommon_Individual,individual_id,1,1
1060,ICONI,PSA_Iconi,dbo,vBICommon_ProjectRole,sql_dwh,ICONI,vBICommon_ProjectRole,user_id,0,1
1070,ICONI,PSA_Iconi,dbo,vBICommon_Document,sql_dwh,ICONI,vBICommon_Document,document_id,0,1
1080,ICONI,PSA_Iconi,dbo,vBIRestart_Meeting,sql_dwh,ICONI,vBIRestart_Meeting,meeting_id,1,1
1090,ICONI,PSA_Iconi,dbo,vBIRestart_Site,sql_dwh,ICONI,vBIRestart_Site,site_id,1,1
1100,ICONI,PSA_Iconi,dbo,vBIRestart_ProjectSite,sql_dwh,ICONI,vBIRestart_ProjectSite,ps_site_id,1,1
1110,ICONI,PSA_Iconi,dbo,vBICommon_Agency,sql_dwh,ICONI,vBICommon_Agency,agency_id,1,1
1120,ICONI,PSA_Iconi,dbo,vBICommon_Contact,sql_dwh,ICONI,vBICommon_Contact,contact_id,1,1
1130,ICONI,PSA_Iconi,dbo,vBICommon_Contact_Details,sql_dwh,ICONI,vBICommon_Contact_Details,contact_details_id,1,1
1140,ICONI,PSA_Iconi,dbo,vBICommon_Criteria_Definition,sql_dwh,ICONI,vBICommon_Criteria_Definition,criteria_definition_id,1,1
1150,ICONI,PSA_Iconi,dbo,vBICommon_Criteria_Override,sql_dwh,ICONI,vBICommon_Criteria_Override,criteria_override_id,1,1
1160,ICONI,PSA_Iconi,dbo,vBICommon_Criteria_Result,sql_dwh,ICONI,vBICommon_Criteria_Result,criteria_result_id,1,1
1170,ICONI,PSA_Iconi,dbo,vBICommon_EarningsNotification,sql_dwh,ICONI,vBICommon_EarningsNotification,Earnings_Notification_id,1,1
1180,ICONI,PSA_Iconi,dbo,vBICommon_InterventionRelatedBarrier,sql_dwh,ICONI,vBICommon_InterventionRelatedBarrier,Intervention_Related_Barrier_id,1,1
1190,ICONI,PSA_Iconi,dbo,vBICommon_Organisation,sql_dwh,ICONI,vBICommon_Organisation,organisation_id,1,1
1200,ICONI,PSA_Iconi,dbo,vBICommon_Organisation_Employer_Info,sql_dwh,ICONI,vBICommon_Organisation_Employer_Info,organisation_employer_info_id,1,1
1210,ICONI,PSA_Iconi,dbo,vBICommon_Outcome_Earnings,sql_dwh,ICONI,vBICommon_Outcome_Earnings,outcome_earnings_id,1,1
1220,ICONI,PSA_Iconi,dbo,vBICommon_Portal_Message,sql_dwh,ICONI,vBICommon_Portal_Message,portal_message_id,1,1
1230,ICONI,PSA_Iconi,dbo,vBIRestart_AssessmentValue,sql_dwh,ICONI,vBIRestart_AssessmentValue,Assessment_Value_id,1,1
1240,ICONI,PSA_Iconi,dbo,vBIRestart_Barrier,sql_dwh,ICONI,vBIRestart_Barrier,engagement_barrier_id,1,1
1250,ICONI,PSA_Iconi,dbo,vBIRestart_Correspondence,sql_dwh,ICONI,vBIRestart_Correspondence,correspondence_id,1,1
1260,ICONI,PSA_Iconi,dbo,vBIRestart_Doubt,sql_dwh,ICONI,vBIRestart_Doubt,doubt_id,1,1
1270,ICONI,PSA_Iconi,dbo,vBIRestart_DoubtRelatedActivity,sql_dwh,ICONI,vBIRestart_DoubtRelatedActivity,Doubt_Related_Activity_id,1,1
1280,ICONI,PSA_Iconi,dbo,vBIRestart_Expense,sql_dwh,ICONI,vBIRestart_Expense,expense_id,1,1
1290,ICONI,PSA_Iconi,dbo,vBIRestart_GroupSession,sql_dwh,ICONI,vBIRestart_GroupSession,group_session_id,1,1
1300,ICONI,PSA_Iconi,dbo,vBIRestart_GroupSessionSession,sql_dwh,ICONI,vBIRestart_GroupSessionSession,group_session_session_id,1,1
1310,ICONI,PSA_Iconi,dbo,vBIRestart_GroupSessionSessionAttendance,sql_dwh,ICONI,vBIRestart_GroupSessionSessionAttendance,Group_Session_Session_Attendance_id,1,1
1320,ICONI,PSA_Iconi,dbo,vBIRestart_GroupSessionSite,sql_dwh,ICONI,vBIRestart_GroupSessionSite,Group_Session_Site_id,1,1
1330,ICONI,PSA_Iconi,dbo,vBIRestart_Intervention,sql_dwh,ICONI,vBIRestart_Intervention,intervention_id,1,1
1340,ICONI,PSA_Iconi,dbo,vBIRestart_Intervention_Service,sql_dwh,ICONI,vBIRestart_Intervention_Service,intervention_service_id,1,1
