ObjectMappingID,SourceConnection,ObjectType,SourceSchema,SourceTable,DestinationConnection,DestinationSchema,DestinationTable,IsEnabled,SourceGroup
81,sql_dwh,DV,ICONI,LINK_Referral_Programme,sql_dwh,DV,LINK_Referral_Programme,1,
82,sql_dwh,DV,ICONI,HUB_Employee,sql_dwh,DV,HUB_Employee,1,
83,sql_dwh,DV,ICONI,SAT_Employee_Iconi_Core,sql_dwh,DV,SAT_Employee_Iconi_Core,1,
84,sql_dwh,DV,ICONI,LINK_Case_Employee,sql_dwh,DV,LINK_Case_Employee,1,
85,sql_dwh,DV,ICONI,HUB_DeliverySite,sql_dwh,DV,HUB_DeliverySite,1,
86,sql_dwh,DV,ICONI,SAT_DeliverySite_Iconi_Core,sql_dwh,DV,SAT_DeliverySite_Iconi_Core,1,
87,sql_dwh,DV,ICONI,LINK_Case_DeliverySite,sql_dwh,DV,LINK_Case_DeliverySite,1,
88,sql_dwh,DV,ADAPT,LINKSAT_Case_Employee_Adapt_Core,sql_dwh,DV,LINKSAT_Case_Employee_Adapt_Core,1,
89,sql_dwh,DV,ICONI,HUB_DeliveryOrganisation,sql_dwh,DV,HUB_DeliveryOrganisation,1,
90,sql_dwh,DV,ICONI,SAT_DeliveryOrganisation_Iconi_Core,sql_dwh,DV,SAT_DeliveryOrganisation_Iconi_Core,1,
91,sql_dwh,DV,ICONI,LINK_DeliverySite_DeliveryOrganisation,sql_dwh,DV,LINK_DeliverySite_DeliveryOrganisation,1,
92,sql_dwh,DV,ICONI,HUB_Activity,sql_dwh,DV,HUB_Activity,1,
93,sql_dwh,DV,ICONI,SAT_Activity_Iconi_Core,sql_dwh,DV,SAT_Activity_Iconi_Core,1,
94,sql_dwh,DV,ICONI,LINK_Case_Activity,sql_dwh,DV,LINK_Case_Activity,1,
95,sql_dwh,DV,ICONI,HUB_ActivityType,sql_dwh,DV,HUB_ActivityType,1,
96,sql_dwh,DV,ICONI,LINK_Activity_ActivityType,sql_dwh,DV,LINK_Activity_ActivityType,1,
97,sql_dwh,DV,ICONI,SAT_AssignmentEarningPattern_ICONI_Core,sql_dwh,DV,SAT_AssignmentEarningPattern_ICONI_Core,1,
98,sql_dwh,DV,ICONI,HUB_AssignmentEarningPattern,sql_dwh,DV,HUB_AssignmentEarningPattern,1,
99,sql_dwh,DV,ICONI,LINK_Activity_Employee,sql_dwh,DV,LINK_Activity_Employee,1,
100,sql_dwh,DV,ICONI,LINK_Activity_EmploymentSite,sql_dwh,DV,LINK_Activity_EmploymentSite,1,
101,sql_dwh,DV ,ADAPT,HUB_Activity,sql_dwh,DV,HUB_Activity,1,
102,sql_dwh,DV,ADAPT,SAT_Activity_Adapt_Core,sql_dwh,DV,SAT_Activity_Adapt_Core,1,
103,sql_dwh,DV,ADAPT,LINK_Case_Activity,sql_dwh,DV,LINK_Case_Activity,1,
104,sql_dwh,DV,ADAPT,LINK_Barriers_Activity,sql_dwh,DV,LINK_Barriers_Activity,0,
105,sql_dwh,DV,ICONI,SAT_EmploymentSite_Iconi_Core,sql_dwh,DV,SAT_EmploymentSite_Iconi_Core,1,
106,sql_dwh,DV,ICONI,HUB_EmploymentSite,sql_dwh,DV,HUB_EmploymentSite,1,
107,sql_dwh,DV,ICONI,SAT_ActivityType_Iconi_Core,sql_dwh,DV,SAT_ActivityType_Iconi_Core,1,
108,sql_dwh,DV,ICONI,LINK_Case_Assignment,sql_dwh,DV,LINK_Case_Assignment,1,
109,sql_dwh,DV,ICONI,LINK_Assignment_AssignmentEarningPattern,sql_dwh,DV,LINK_Assignment_AssignmentEarningPattern,1,
110,sql_dwh,DV,ICONI,HUB_Assignment,sql_dwh,DV,HUB_Assignment,1,
111,sql_dwh,DV,ICONI,SAT_Assignment_Iconi_Core,sql_dwh,DV,SAT_Assignment_Iconi_Core,1,
112,sql_dwh,DV,ICONI,HUB_Vacancy,sql_dwh,DV,HUB_Vacancy,1,
113,sql_dwh,DV,ICONI,SAT_Vacancy_Iconi_Core,sql_dwh,DV,SAT_Vacancy_Iconi_Core,1,
114,sql_dwh,DV,ICONI,LINK_Vacancy_Assignment,sql_dwh,DV,LINK_Vacancy_Assignment,1,
115,sql_dwh,DV,ICONI,LINK_EmploymentSite_Vacancy,sql_dwh,DV,LINK_EmploymentSite_Vacancy,1,
117,sql_dwh,DV,ICONI,HUB_Barriers,sql_dwh,DV,HUB_Barriers,1,
118,sql_dwh,DV,ICONI,SAT_Barriers_Iconi_Core,sql_dwh,DV,SAT_Barriers_Iconi_Core,1,
119,sql_dwh,DV,ICONI,LINK_Case_Barriers,sql_dwh,DV,LINK_Case_Barriers,1,
120,sql_dwh,DV,ICONI,LINK_Case_Referral,sql_dwh,DV,LINK_Case_Referral,1,
121,sql_dwh,DV,ADAPT,HUB_Correspondence,sql_dwh,DV,HUB_Correspondence,1,
122,sql_dwh,DV,ADAPT,SAT_Correspondence_Adapt_Core,sql_dwh,DV,SAT_Correspondence_Adapt_Core,1,
123,sql_dwh,DV,ADAPT,LINK_Case_Correspondence,sql_dwh,DV,LINK_Case_Correspondence,1,
124,sql_dwh,DV,META,SAT_WorkFlowEventStage_core,sql_dwh,DV,SAT_WorkFlowEventStage_Core,1,
125,sql_dwh,DV,META,HUB_WorkFlowEventStage,sql_dwh,DV,HUB_WorkFlowEventStage,1,
126,sql_dwh,DV,META,LINK_Programme_WorkFlowEventStage,sql_dwh,DV,LINK_Programme_WorkFlowEventStage,1,
127,sql_dwh,DV,META,HUB_WorkFlowEventType,sql_dwh,DV,HUB_WorkFlowEventType,1,
128,sql_dwh,DV,META,SAT_WorkFlowEventType_Core,sql_dwh,DV,SAT_WorkFlowEventType_Core,1,
129,sql_dwh,DV,META,LINK_WorkFlowEventStage_WorkFlowEventType,sql_dwh,DV,LINK_WorkFlowEventStage_WorkFlowEventType,1,
135,sql_dwh,DV,ADAPT,LINK_Document_Employee,sql_dwh,DV,LINK_Document_Employee,1,
136,sql_dwh,DV,ADAPT,HUB_HMRC,sql_dwh,DV,HUB_HMRC,1,HMRC
137,sql_dwh,DV,ADAPT,SAT_HMRC_Adapt_Core,sql_dwh,DV,SAT_HMRC_Adapt_Core,1,HMRC
138,sql_dwh,DV,ADAPT,LINK_Case_HMRC,sql_dwh,DV,LINK_Case_HMRC,1,HMRC
139,sql_dwh,DV,META,HUB_Forecasts,sql_dwh,DV,HUB_Forecasts,1,
140,sql_dwh,DV,META,HUB_ForecastsCohort,sql_dwh,DV,HUB_ForecastsCohort,1,
141,sql_dwh,DV,META,HUB_ForecastType,sql_dwh,DV,HUB_ForecastType,1,
142,sql_dwh,DV,META,HUB_Metric,sql_dwh,DV,HUB_Metric,1,
143,sql_dwh,DV,META,HUB_SourceType,sql_dwh,DV,HUB_SourceType,1,
144,sql_dwh,DV,META,HUB_ForecastName,sql_dwh,DV,HUB_ForecastName,1,
