WorkFlowEventTypeID,WorkFlowEventProgramme,WorkFlowEventStageID,WorkFlowEventStageCategory,WorkFlowEventStageName,WorkFlowEventID,WorkFlowEvenName,WorkFlowEventType,CorrespondenceName,DocumentName,ActivityName,BarrierName,DocumentTrackingName,WorkFlowEventDate,WorkFlowEventDueDate,WorkFlowPreviousEventID,WorkFlowEventSLAType,WorkFlowEventSLADurationType,WorkFlowEventSLAFrom,WorkFlowEventSLADuration,WorkFlowEventActionType,WorkFlowEventCSSRelated,WorkFlowEventRecurring,WorkFlowEventTypeCount,WorkFlowEventTypeExit,SkippableEventID
66,WHP Wales,2,On Programme,Completed - Catch up,640,Completed - Catch up weeks 21-22,Contact,,,,,,,,390,,,,,,,N,,,
67,WHP Wales,2,On Programme,Completed - Catch up,650,Completed - Catch up weeks 22-23,Contact,,,,,,,,400,,,,,,,N,,,
68,WHP Wales,2,On Programme,Completed - Catch up,660,Completed - Catch up weeks 23-24,Contact,,,,,,,,410,,,,,,,N,,,
69,WHP Wales,2,On Programme,Completed - Catch up,670,Completed - Catch up weeks 24-25,Contact,,,,,,,,420,,,,,,,N,,,
70,WHP Wales,2,On Programme,Completed - Catch up,680,Completed - Catch up weeks 25-26,Contact,,,,,,,,430,,,,,,,N,,,
71,WHP Wales,3,In Work,Workplace Plan Appointment,690,Workplace Plan Appointment,Activity,,,Work Place Plan Appointment,,,,,180,140,Working Days,,1,,CSS11,Y,,,
72,WHP Wales,3,In Work,Job Start,700,Job Start Added,Assignment,,,,,,Job Start Date Added,,700,,,,,,,,,,
73,WHP Wales,3,In Work,Job Start,710,Job Start Verified,Assignment,,,,,,Job Verified Date,,710,,,,,,,,,,
74,WHP Wales,3,In Work,Job Start,720,Job Start Date,Assignment,,,,,,Job Start Date,,720,,,,,,,,,,
75,WHP Wales,3,In Work,Job Start,730,In Work Contact,Activity,Any,,Any,,,,,730,220,Working Days,,10,,CSS12,Y,,,
76,WHP Wales,3,In Work,In Work Action Plan,740,Action Plan Uploaded,Documents,,%Action%Plan% Or %AP%,,,,,,740,,,,,,,Y,,,
77,WHP Wales,3,In Work,Earnings,750,First HMRC Ping 1 (First Earnings),HMRC Data,,,,,,HRMC ,,750,,,,,,,,,,
78,WHP Wales,3,In Work,Earnings,760,HMRC Ping 2 (1000),HMRC Data,,,,,,,,760,,,,,,,,,,
79,WHP Wales,3,In Work,Earnings,770,HMRC Ping 3 (2000),HMRC Data,,,,,,,,770,,,,,,,,,,
80,WHP Wales,3,In Work,Earnings,780,HMRC Ping 4 (Threshold Reached),HMRC Data,,,,,,,,780,,,,,,,,,,
81,WHP Wales,3,In Work,Earnings,790,First HMRC Ping 5 (Employment End),HMRC Data,,,,,,,,790,,,,,,,,,,
82,WHP Wales,3,In Work,Earnings,800,Job Outcome Paid,Assignment,,,,,,,,800,,,,,,,,,,
83,WHP Wales,4,Exit,Programme Exit,810,Programme Exit,Case,,,,,,Programme Leave Date,,810,,,,,,,,,,
84,WHP Wales,4,Exit,Programme Exit,820,Exit Report Upload,Documents,,WHP Exit Report,,,%Exit Report%,,,820,300,Working Days,,10,,CSS13,,,,
85,WHP Wales,4,Exit,Programme Exit,830,Exit Report Documents Sent,Document Tracking,,,,,%Exit Report%,,,830,,,,,,,,,,
86,WHP Wales,4,Exit,Programme Exit,840,Exit Report Documents In Query,Document Tracking,,,,,%Exit Report%,,,840,,,,,,,,,,
87,WHP Wales,4,Exit,Programme Exit,850,Exit Report Documents Resent,Document Tracking,,,,,%Exit Report%,,,850,,,,,,,,,,
88,WHP Wales,4,Exit,Programme Exit,860,Exit Report Documents Completed,Document Tracking,,,,,%Exit Report%,,,860,,,,,,,,,,
89,WHP Wales,4,Exit,Programme Exit,870,Exit Interview Booked,Activity_Booked_Date,,,Exit Interview,,,,,870,,,,,,,,,,
90,WHP Wales,4,Exit,Programme Exit,880,Exit Interview Failed To Attend,Activity_Failed_Attend_Date,,,Exit Interview,,,,,880,,,,,,,,,,
91,WHP Wales,4,Exit,Programme Exit,890,Exit Interview Attended,Activity_Attended_Date,,,Exit Interview,,,,,890,,,,,,,,,,
92,WHP London,1,Referral,PRaP Referral,10,PRaP Referral,Referral,,,,,,Referral Date,,,,,,,,,,,,
93,WHP London,1,Referral,Initial Contact,20,Initial Contact,First Correspondence,Any,,,,,,,10,10,Working Days,,2,,CSS1,,,,
94,WHP London,1,Referral,Initial Appointment,30,Initial Appointment Booked,Initial Appointment Booked,,,Any,Initial Appointment,,,,20,,,,,,,Y,,,
95,WHP London,1,Referral,Initial Appointment,40,Initial Appointment Failed To Attend,Initial Appointment Failed To Attend,,,Any,Initial Appointment,,,,30,,,,,,,Y,,,
96,WHP London,1,Referral,Initial Appointment,50,Initial Appointment Attended,Initial Appointment Attended,,,Any,Initial Appointment,,,,40,10,Working Days,,15,,CSS2,,,,
97,WHP London,1,Referral,BPSA,60,BPSA,Activity,,,%BPSA%,,,,,50,10,Working Days,,20,,CSS3,Y,,,
98,WHP London,1,Referral,Welcome Pack,70,Welcome Pack Sent,Correspondence,BOT - Welcome Pack,,,,,,,60,140,Working Days,,1,,,,,,
99,WHP London,1,Referral,Welcome Pack,80,ESF1420 Uploaded,Documents,,%ESF1420%,,,,,,70,140,Working Days,,1,,,,,,
100,WHP London,1,Referral,Action Plan,90,Initial Action Plan Uploaded,Documents,,%Action Plan%,,,,,,80,10,Working Days,,20,,CSS4,,,,
101,WHP London,1,Referral,Action Plan,95,Monthly Action Plan Review,Documents,,%Action Plan%,,,,,,90,90,Calendar Month -1,,60,,CSS7,Y,,,
102,WHP London,1,Referral,Referral Documents,100,Referral Documents Sent,Document Tracking,,,,,%Consent%,,,95,,,,,,,,,,
103,WHP London,1,Referral,Referral Documents,110,Referral Documents In Query,Document Tracking,,,,,%Consent%,,,100,,,,,,,Y,,,
104,WHP London,1,Referral,Referral Documents,120,Referral Documents Resent,Document Tracking,,,,,%Consent%,,,110,,,,,,,Y,,,
105,WHP London,1,Referral,Referral Documents,130,Referral Documents Completed,Document Tracking,,,,,%Consent%,,,120,,,,,,,,,,
106,WHP London,2,On Programme,Programme Start,140,Programme Start,Case,,,,,,,,130,,,,,,,,,,
107,WHP London,2,On Programme,First Contact,150,First Contact,Activity,Any,,Any,,,,,140,140,Working Days,,10,,CSS6,Y,,,
108,WHP London,2,On Programme,Missed Appointments,155,Missed Appointments,Activity,,,Any,,,,,150,155,Working Days,,2,,,Y,,,
109,WHP London,2,On Programme,Onboartding Activity,160,BOC - Better off Calculation,Activity,,,%BOC%,,,,,155,,Working Days,,30,,CSS9,,,,
110,WHP London,2,On Programme,Onboartding Activity,170,CV Review,Activity,,,%CV%,,,,,160,,,,,,CSS8,,,,
111,WHP London,2,On Programme,Onboartding Activity,180,Mock Interview,Activity,,,%Mock%,,,,,170,,Working Days,,90,,CSS11,,,,
112,WHP London,2,On Programme,Submission,190,Submission,Submissions,,,,,,,,180,,,,,,,Y,,,
113,WHP London,2,On Programme,Interview,200,Interview,Interview,,,,,,,,190,,,,,,,Y,,,
114,WHP London,2,On Programme,Offer Accepted,210,Offer Accepted,Submissions,,,,,,,,200,,,,,,,Y,,,
115,WHP London,2,On Programme,Transition to Work Assessment,220,Transition to Work Assessment,Activity,,,,,,,,210,,,,,,,,,,
116,WHP London,2,On Programme,Catch up,500,Catch up weeks 1-2,StartEndOfPreviousEvent_StopAtNextEvent,,,,,,,,140,,Working Days From/To,0,10,,CSS5,N,,,
117,WHP London,2,On Programme,Catch up,510,Catch up weeks 2-3,StartEndOfPreviousEvent_StopAtNextEvent,,,,,,,,140,,Working Days From/To,11,10,,CSS5,N,,,
118,WHP London,2,On Programme,Catch up,520,Catch up weeks 3-4,StartEndOfPreviousEvent_StopAtNextEvent,,,,,,,,140,,Working Days From/To,21,10,,CSS5,N,,,
119,WHP London,2,On Programme,Catch up,530,Catch up weeks 4-5,StartEndOfPreviousEvent_StopAtNextEvent,,,,,,,,140,,Working Days From/To,31,10,,CSS5,N,,,
120,WHP London,2,On Programme,Catch up,540,Catch up weeks 5-6,StartEndOfPreviousEvent_StopAtNextEvent,,,,,,,,140,,Working Days From/To,41,10,,CSS5,N,,,
121,WHP London,2,On Programme,Catch up,550,Catch up weeks 6-7,StartEndOfPreviousEvent_StopAtNextEvent,,,,,,,,140,,Working Days From/To,51,10,,CSS5,N,,,
122,WHP London,2,On Programme,Catch up,560,Catch up weeks 7-8,StartEndOfPreviousEvent_StopAtNextEvent,,,,,,,,140,,Working Days From/To,61,10,,CSS5,N,,,
123,WHP London,2,On Programme,Catch up,570,Catch up weeks 8-9,StartEndOfPreviousEvent_StopAtNextEvent,,,,,,,,140,,Working Days From/To,71,10,,CSS5,N,,,
