WorkFlowEventTypeID,WorkFlowEventProgramme,WorkFlowEventStageID,WorkFlowEventStageCategory,WorkFlowEventStageName,WorkFlowEventID,WorkFlowEvenName,WorkFlowEventType,CorrespondenceName,DocumentName,ActivityName,BarrierName,DocumentTrackingName,WorkFlowEventDate,WorkFlowEventDueDate,WorkFlowPreviousEventID,WorkFlowEventSLAType,WorkFlowEventSLADurationType,WorkFlowEventSLAFrom,WorkFlowEventSLADuration,WorkFlowEventActionType,WorkFlowEventCSSRelated,WorkFlowEventRecurring,WorkFlowEventTypeCount,WorkFlowEventTypeExit,SkippableEventID
346,Pioneer London,2,On Programme,Completed - Catch up,890,Completed - Catch up weeks 15-16,Contact,,,,,,,,640,,,,,,,N,,,
347,Pioneer London,2,On Programme,Completed - Catch up,900,Completed - Catch up weeks 16-17,Contact,,,,,,,,650,,,,,,,N,,,
348,Pioneer London,2,On Programme,Completed - Catch up,910,Completed - Catch up weeks 17-18,Contact,,,,,,,,660,,,,,,,N,,,
349,Pioneer London,2,On Programme,Completed - Catch up,920,Completed - Catch up weeks 18-19,Contact,,,,,,,,670,,,,,,,N,,,
350,Pioneer London,2,On Programme,Completed - Catch up,930,Completed - Catch up weeks 19-20,Contact,,,,,,,,680,,,,,,,N,,,
351,Pioneer London,2,On Programme,Completed - Catch up,940,Completed - Catch up weeks 20-21,Contact,,,,,,,,690,,,,,,,N,,,
352,Pioneer London,2,On Programme,Completed - Catch up,950,Completed - Catch up weeks 21-22,Contact,,,,,,,,700,,,,,,,N,,,
353,Pioneer London,2,On Programme,Completed - Catch up,960,Completed - Catch up weeks 22-23,Contact,,,,,,,,710,,,,,,,N,,,
354,Pioneer London,2,On Programme,Completed - Catch up,970,Completed - Catch up weeks 23-24,Contact,,,,,,,,720,,,,,,,N,,,
355,Pioneer London,2,On Programme,Completed - Catch up,980,Completed - Catch up weeks 24-25,Contact,,,,,,,,730,,,,,,,N,,,
356,Pioneer London,2,On Programme,Completed - Catch up,990,Completed - Catch up weeks 25-26,Contact,,,,,,,,740,,,,,,,N,,,
357,Pioneer London,2,On Programme,Vacancy Family Box,1400,Vacancy Family Box,Activity,,,,,,,,140,140,Working Days,,30,,CSS10,,,,
358,Pioneer London,2,On Programme,CPN Referral,1500,CPN Referral,Activity,,,,,,,,140,,,,,,CSS12,,,,
359,Pioneer London,2,On Programme,MPS Sector Routeway,1600,MPS Sector Routeway,Activity,,,MPS Sector Routeway,,,,,140,,,,,,CSS13,,,,
360,Pioneer London,2,On Programme,NEO Selected,1700,NEO Selected,Activity,,,,,,,,140,,,,,,CSS14,,,,
361,Pioneer London,2,On Programme,Distance Travelled Score Increase,1800,Distance Travelled Score Increase,Activity,,,,,,,,140,,,,,,CSS17,,,,
362,Pioneer London,3,In Work,Workplace Plan Appointment,225,Workplace Plan Appointment,Activity,,,Work Place Plan Appointment,,,,,220,,Working Days,,10,,CSS15,Y,,,
363,Pioneer London,3,In Work,Job Start,230,Job Start Added,Assignment,,,,,,Job Start Date Added,,225,,,,,,,,,,
364,Pioneer London,3,In Work,Job Start,240,Job Start Verified,Assignment,,,,,,Job Verified Date,,230,,,,,,,,,,
365,Pioneer London,3,In Work,Job Start,250,Job Start Date,Assignment,,,,,,Job Start Date,,240,,,,,,,,,,
366,Pioneer London,3,In Work,Job Start,260,In Work Contact,Activity,Any,,Any,,,,,250,220,Calendar Days,,30,,CSS16,Y,,,
367,Pioneer London,3,In Work,In Work Action Plan,270,Action Plan Uploaded,Documents,,%Action Plan%,,,,,,260,,,,,,,Y,,,
368,Pioneer London,3,In Work,Earnings,280,First HMRC Ping 1 (First Earnings),HMRC Data,,,,,,HRMC ,,270,,,,,,,,,,
369,Pioneer London,3,In Work,Earnings,290,HMRC Ping 2 (1000),HMRC Data,,,,,,,,280,,,,,,,,,,
370,Pioneer London,3,In Work,Earnings,300,HMRC Ping 3 (2000),HMRC Data,,,,,,,,290,,,,,,,,,,
371,Pioneer London,3,In Work,Earnings,310,HMRC Ping 4 (Threshold Reached),HMRC Data,,,,,,,,300,,,,,,,,,,
372,Pioneer London,3,In Work,Earnings,320,First HMRC Ping 5 (Employment End),HMRC Data,,,,,,,,310,,,,,,,,,,
373,Pioneer London,3,In Work,Earnings,330,Job Outcome Paid,Assignment,,,,,,,,320,,,,,,,,,,
374,Pioneer London,4,Exit,Programme Exit,340,Programme Exit,Case,,,,,,Programme Leave Date,,330,,,,,,,,,,
375,Pioneer London,4,Exit,Programme Exit,350,Exit Report Upload,Documents,,WHP Exit Report,,,%Exit Report%,,,340,300,Working Days,,10,,,,,,
376,Pioneer London,4,Exit,Programme Exit,360,Exit Report Documents Sent,Document Tracking,,,,,%Exit Report%,,,350,,,,,,,,,,
377,Pioneer London,4,Exit,Programme Exit,370,Exit Report Documents In Query,Document Tracking,,,,,%Exit Report%,,,360,,,,,,,,,,
378,Pioneer London,4,Exit,Programme Exit,380,Exit Report Documents Resent,Document Tracking,,,,,%Exit Report%,,,370,,,,,,,,,,
379,Pioneer London,4,Exit,Programme Exit,390,Exit Report Documents Completed,Document Tracking,,,,,%Exit Report%,,,380,,,,,,,,,,
380,Pioneer London,4,Exit,Programme Exit,400,Exit Interview Booked,Activity_Booked_Date,,,Exit Interview,,,,,390,,,,,,,,,,
381,Pioneer London,4,Exit,Programme Exit,410,Exit Interview Failed To Attend,Activity_Failed_Attend_Date,,,Exit Interview,,,,,400,,,,,,,,,,
382,Pioneer London,4,Exit,Programme Exit,420,Exit Interview Attended,Activity_Attended_Date,,,Exit Interview,,,,,410,,,,,,,,,,
